date,temperature,precipitation,wind_speed,radiation,next_day_temp,will_rain
2014-01-01,8.0,11.4,40.0,0.47,7.9,1
2014-01-02,7.9,1.5,27.4,3.72,8.3,1
2014-01-03,8.3,4.3,35.9,2.83,7.0,1
2014-01-04,7.0,18.0,33.1,0.57,4.9,0
2014-01-05,4.9,0.6,34.3,2.11,10.6,1
2014-01-06,10.6,5.4,35.2,2.98,9.5,1
2014-01-07,9.5,1.7,33.9,3.08,8.6,1
2014-01-08,8.6,1.5,22.7,3.24,8.4,0
2014-01-09,8.4,0.9,34.5,2.3,5.2,0
2014-01-10,5.2,0.0,17.6,3.29,5.5,0
2014-01-11,5.5,1.0,19.4,4.27,3.3,1
2014-01-12,3.3,2.0,22.6,1.57,6.6,1
2014-01-13,6.6,2.2,25.9,3.92,3.9,1
2014-01-14,3.9,1.7,16.3,3.91,8.7,1
2014-01-15,8.7,7.7,23.0,1.12,7.9,1
2014-01-16,7.9,3.1,25.9,3.52,7.2,0
2014-01-17,7.2,0.0,25.8,3.35,7.5,1
2014-01-18,7.5,2.0,23.0,3.68,5.5,0
2014-01-19,5.5,0.6,19.4,3.41,3.3,0
2014-01-20,3.3,0.0,8.4,3.89,4.1,0
2014-01-21,4.1,0.0,22.1,3.88,6.6,1
2014-01-22,6.6,5.6,22.9,3.16,3.5,1
2014-01-23,3.5,2.6,24.5,3.39,3.7,1
2014-01-24,3.7,3.7,18.7,1.65,7.5,1
2014-01-25,7.5,4.4,43.8,4.51,4.8,1
2014-01-26,4.8,4.9,33.1,0.78,3.7,0
2014-01-27,3.7,0.2,28.7,4.42,5.4,0
2014-01-28,5.4,0.4,22.8,3.99,4.0,1
2014-01-29,4.0,11.8,19.5,1.08,4.2,1
2014-01-30,4.2,3.1,15.4,2.23,3.9,1
2014-01-31,3.9,6.8,34.6,1.65,6.5,1
2014-02-01,6.5,6.0,34.7,6.37,6.1,0
2014-02-02,6.1,0.0,31.6,5.78,5.4,0
2014-02-03,5.4,0.0,29.3,5.75,6.0,1
2014-02-04,6.0,2.5,34.3,5.22,7.0,1
2014-02-05,7.0,11.6,46.5,3.52,7.2,1
2014-02-06,7.2,11.0,31.8,1.56,6.9,1
2014-02-07,6.9,8.4,30.7,4.98,7.1,1
2014-02-08,7.1,6.2,39.3,6.35,5.8,0
2014-02-09,5.8,0.9,38.0,6.03,4.6,1
2014-02-10,4.6,1.8,18.4,4.47,4.6,1
2014-02-11,4.6,5.2,37.9,3.09,4.9,1
2014-02-12,4.9,8.1,47.2,2.26,4.7,0
2014-02-13,4.7,0.1,30.2,6.75,5.7,1
2014-02-14,5.7,8.0,47.9,1.02,7.9,1
2014-02-15,7.9,1.2,52.5,7.1,4.6,0
